shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD
0.01,1,10,100,0.42885980700602194,0.06065372555342852,0.012725110616414443,0.023618936381707603
0.01,1,20,100,0.4329037448232942,0.06687720250501768,0.010571923678272557,0.017431096517298482
0.05,1,10,100,0.44841417408228584,0.11973694943167805,0.008619730639436744,0.014841892771583499
0.05,1,20,100,0.4531385852333093,0.12799200655462,0.007814783131483883,0.013611226292800772
0.01,2,10,100,0.44076942856322965,0.0948371264725815,0.010589538014123306,0.015075800639961912
0.01,2,20,100,0.44256616856044734,0.0980206577361618,0.01272098929827658,0.019398509830283073
0.05,2,10,100,0.45201574635766145,0.13096989173656168,0.012014353993202642,0.018318392937898206
0.05,2,20,100,0.4524634185225769,0.13208601538205259,0.0145791923923472,0.023151182147548306
0.01,3,10,100,0.4502134435556241,0.11676797690298191,0.013938291922704342,0.02227597152614607
0.01,3,20,100,0.4457175425991965,0.10979096470264627,0.014230687767060192,0.021984175230068927
0.05,3,10,100,0.45179430825601463,0.13387827422112836,0.016748921675962314,0.026216684735374814
0.05,3,20,100,0.4549370992114807,0.1392137724907577,0.013144230103567307,0.020886977161187092
0.01,1,10,300,0.4454948434475994,0.10498206215403583,0.00805892592381159,0.01137315468325286
0.01,1,20,300,0.444145266088703,0.1026743824470882,0.009770842304673047,0.0156309412554391
0.05,1,10,300,0.45066894387605705,0.13399539044880912,0.008029083691150352,0.010705313905062314
0.05,1,20,300,0.4484257956008818,0.13030822830195193,0.017760821002141908,0.028267189216441887
0.01,2,10,300,0.4533615348926919,0.12650841238803096,0.012487051222318806,0.019844974457713396
0.01,2,20,300,0.4529110861482798,0.1272320788030464,0.01009776476661592,0.01565334974918634
0.05,2,10,300,0.45426293736889745,0.14267509218837263,0.010443403349037834,0.015546774350625842
0.05,2,20,300,0.44347363599184647,0.12442418861134585,0.0095406638490339191,0.016067825027454165
0.01,3,10,300,0.4551618160429981,0.13329142671271632,0.014130790825881116,0.02275435783590823
0.01,3,20,300,0.451116365533187,0.1277292137992679,0.01411556496060165,0.022399353805801957
0.05,3,10,300,0.4434741415466297,0.12712584451352119,0.013745896807109685,0.0226433026708274
0.05,3,20,300,0.44257475845254907,0.1271132590026826,0.005679036174795788,0.00917574730899351
0.01,1,10,600,0.4517905182973453,0.12614307688595586,0.007989000665812665,0.01113331576101111
0.01,1,20,600,0.450666672283942,0.12500687816672137,0.013357508411411659,0.02270746730162294
0.05,1,10,600,0.4454978779111015,0.12930688308311006,0.011639853218218081,0.019291451888714953
0.05,1,20,600,0.44235509036004483,0.12416706237736745,0.018235333622464513,0.029281876542845406
0.01,2,10,600,0.4553893111562167,0.1375871445441721,0.013862749575320837,0.02119209131720954
0.01,2,20,600,0.4535923195164105,0.13566230305109692,0.01711602221819192,0.026517638317192713
0.05,2,10,600,0.4425734985374019,0.12697231636246858,0.008256064325752842,0.012401743720078415
0.05,2,20,600,0.43582712443545846,0.11635852122759408,0.015104764158818073,0.02452759340084151
0.01,3,10,600,0.45561352924176945,0.14023492066735338,0.013962000297639244,0.02166834687818771
0.01,3,20,600,0.45156807873195853,0.134279153836682,0.015371825910441369,0.024021031417083435
0.05,3,10,600,0.4338074239982288,0.11711818498380437,0.007471810879924902,0.010297407092056654
0.05,3,20,600,0.4353837438121847,0.12080022421023821,0.010207468869634773,0.013557651604179918
0.01,1,10,1000,0.4515693363774994,0.13111544456190435,0.013107338842177359,0.020400971839878827
0.01,1,20,1000,0.4504444786871281,0.12959316486721167,0.01328376368884387,0.020982884885906907
0.05,1,10,1000,0.4425755145151176,0.1266007331987111,0.011418658753672086,0.017330962300251204
0.05,1,20,1000,0.4383078704084927,0.11903545394052269,0.016276380880603375,0.025696980154385367
0.01,2,10,1000,0.45134184069687916,0.13466957898403065,0.008969908040594297,0.013579096382671248
0.01,2,20,1000,0.450671220574786,0.13355132413365234,0.01733454048246409,0.02699507793170304
0.05,2,10,1000,0.4306646392841798,0.11283083288387537,0.011171806183815506,0.015026173063819238
0.05,2,20,1000,0.42841062895738646,0.10963316195430142,0.009259868940157883,0.0155111949820921
0.01,3,10,1000,0.4542652129328233,0.14153667819048749,0.011994789990873523,0.017570654720700744
0.01,3,20,1000,0.45247048834591963,0.1386041683874336,0.01849111455967376,0.02820345081156339
0.05,3,10,1000,0.4268368352151418,0.1100441170312059,0.006105503825087967,0.01023907511277853
0.05,3,20,1000,0.4302134333423962,0.11521287125962425,0.010858721075152128,0.014870824658473393
