class,term,beta,odds_ratio
Obese,(Intercept),0.4418001245880992,1.5555048021976359
Obese,`educHS or less`,0.2984034649097064,1.347705430051556
Obese,`educSome college/AA`,0.278875226149897,1.32164242716701
Obese,satfat_day1,0.26163859288155006,1.299056969145008
Obese,mvpa_eq_min_wk,-0.24359605965618428,0.7838041804558069
Obese,fiber_day1,-0.203105262522058,0.8161923224413202
Obese,alcohol_drinks_per_day,0.17868432334924966,1.1956432479316452
Obese,kcal_day1,-0.1712167888616764,0.8426388789458954
Obese,sleep_hours_avg,-0.11071018100428578,0.8951981567673152
Obese,mvpa_eq_min_wk_naTRUE,-0.1035582555640226,0.901623496626569
Obese,fiber_day1_naTRUE,-0.09686455485252947,0.9076789385154705
Obese,satfat_day1_naTRUE,-0.09686455485252808,0.9076789385154718
Obese,age,0.08813005776414937,1.092130152797728
Obese,`maritalNever married`,-0.05607156452297062,0.9454714712544088
Obese,`maritalWidowed/Divorced/Separated`,0.0437009963968925,1.0446699481068527
Obese,kcal_day1_naTRUE,0.03880003330269693,1.0395625849676884
Obese,pir,-0.03666385247009447,0.9640001271530515
Obese,sleep_hours_avg_naTRUE,-0.029220021394675316,0.9712027555724089
Obese,alcohol_drinks_per_day_naTRUE,-0.02763648694077982,0.9727419069255459
Obese,sexMale,0.020855587951837055,1.021074585517621
Obese,educUnknown,-0.010174876479567224,0.9898767124575081
Obese,maritalUnknown,0.007831681276465259,1.0078624291089338
Obese,pir_naTRUE,-0.005805316357146258,0.9942115019309575
Obese,age_naTRUE,0,1
Overweight,kcal_day1_naTRUE,0.44909719728608666,1.5668969479291248
Overweight,fiber_day1_naTRUE,-0.2680791390862738,0.7648472493952274
Overweight,satfat_day1_naTRUE,-0.26807913908626624,0.7648472493952332
Overweight,maritalUnknown,-0.2542813458108745,0.7754735951046844
Overweight,(Intercept),0.21208038514075483,1.2362472569941985
Overweight,sexMale,0.1694132068315642,1.184609526556959
Overweight,age,0.15474069343726,1.1673552189859804
Overweight,alcohol_drinks_per_day,0.11467948101138838,1.121513913452609
Overweight,`educSome college/AA`,0.1114046523559347,1.11784715483146
Overweight,fiber_day1,-0.11028312547628197,0.8955805377319624
Overweight,`educHS or less`,0.10950075970133255,1.1157209185494943
Overweight,educUnknown,0.1047359345835728,1.1104173488176707
Overweight,kcal_day1,-0.07692229654304279,0.9259618012441361
Overweight,`maritalNever married`,-0.07352613830505095,0.929111860064902
Overweight,satfat_day1,0.0528858609810486,1.0543093004222521
Overweight,mvpa_eq_min_wk,-0.05191350477920852,0.9494109828040987
Overweight,mvpa_eq_min_wk_naTRUE,-0.041109820737910766,0.9597237265923229
Overweight,pir,0.03700216141045906,1.0376952637211294
Overweight,`maritalWidowed/Divorced/Separated`,0.028194312062667915,1.0285955335240207
Overweight,sleep_hours_avg,-0.022639323323725008,0.9776150231303127
Overweight,alcohol_drinks_per_day_naTRUE,-0.016456829003885527,0.9836778448264452
Overweight,sleep_hours_avg_naTRUE,0.0059379075485561355,1.0059555718673068
Overweight,pir_naTRUE,-0.004664296799926352,0.9953465641396159
Overweight,age_naTRUE,0,1
